WORD,LINK
open,open/common_voice_en_18708151.opus
open,open/common_voice_en_88285.opus
open,open/common_voice_en_20676464.opus
open,open/common_voice_en_18071560.opus
open,open/common_voice_en_18754670.opus
close,close/common_voice_en_18670525.opus
close,close/common_voice_en_695858.opus
close,close/common_voice_en_78567.opus
close,close/common_voice_en_608864.opus
close,close/common_voice_en_20523942.opus
wait,wait/common_voice_en_31866.opus
wait,wait/common_voice_en_665505.opus
wait,wait/common_voice_en_134719.opus
wait,wait/common_voice_en_566418.opus
wait,wait/common_voice_en_2684.opus
save,save/common_voice_en_619981.opus
save,save/common_voice_en_18594586.opus
save,save/common_voice_en_517462.opus
save,save/common_voice_en_22158172.opus
save,save/common_voice_en_20833975.opus
resume,resume/common_voice_en_186929.opus
resume,resume/common_voice_en_20912654.opus
resume,resume/common_voice_en_64658.opus
resume,resume/common_voice_en_593624.opus
resume,resume/common_voice_en_580161.opus
exit,exit/common_voice_en_20447902.opus
exit,exit/common_voice_en_656048.opus
exit,exit/common_voice_en_219463.opus
exit,exit/common_voice_en_17923597.opus
exit,exit/common_voice_en_21951879.opus
accept,accept/common_voice_en_20235805.opus
accept,accept/common_voice_en_18349254.opus
accept,accept/common_voice_en_20470337.opus
accept,accept/common_voice_en_18647727.opus
accept,accept/common_voice_en_20315403.opus
search,search/common_voice_en_657464.opus
search,search/common_voice_en_523362__2.opus
search,search/common_voice_en_19909369.opus
search,search/common_voice_en_699185.opus
search,search/common_voice_en_82272.opus
start,start/common_voice_en_77415.opus
start,start/common_voice_en_17919518.opus
start,start/common_voice_en_219811.opus
start,start/common_voice_en_149417.opus
start,start/common_voice_en_18494080.opus
listen,listen/common_voice_en_570645.opus
listen,listen/common_voice_en_17424656.opus
listen,listen/common_voice_en_496315.opus
listen,listen/common_voice_en_207498.opus
listen,listen/common_voice_en_17250312__2.opus
