WORD,LINK
вперед,вперед/common_voice_ru_18918591.opus
вперед,вперед/common_voice_ru_21757190.opus
вперед,вперед/common_voice_ru_20458163.opus
вперед,вперед/common_voice_ru_18936530.opus
вперед,вперед/common_voice_ru_18964696.opus
назад,назад/common_voice_ru_20365413.opus
назад,назад/common_voice_ru_20365337.opus
назад,назад/common_voice_ru_18964101.opus
назад,назад/common_voice_ru_19562843.opus
назад,назад/common_voice_ru_18864333.opus
принять,принять/common_voice_ru_18917910.opus
принять,принять/common_voice_ru_18955804.opus
принять,принять/common_voice_ru_18951650.opus
принять,принять/common_voice_ru_21615985.opus
принять,принять/common_voice_ru_18913259.opus
пожалуйста,пожалуйста/common_voice_ru_18930140.opus
пожалуйста,пожалуйста/common_voice_ru_18916902.opus
пожалуйста,пожалуйста/common_voice_ru_20454779.opus
пожалуйста,пожалуйста/common_voice_ru_19030144.opus
пожалуйста,пожалуйста/common_voice_ru_18920426.opus
спасибо,спасибо/common_voice_ru_19019748.opus
спасибо,спасибо/common_voice_ru_18917682.opus
спасибо,спасибо/common_voice_ru_21650148.opus
спасибо,спасибо/common_voice_ru_19156856.opus
спасибо,спасибо/common_voice_ru_20346476.opus
хорошо,хорошо/common_voice_ru_18930433.opus
хорошо,хорошо/common_voice_ru_18929435.opus
хорошо,хорошо/common_voice_ru_18919537.opus
хорошо,хорошо/common_voice_ru_18931405.opus
хорошо,хорошо/common_voice_ru_18921764.opus
всегда,всегда/common_voice_ru_18937740.opus
всегда,всегда/common_voice_ru_18970965.opus
всегда,всегда/common_voice_ru_19545284.opus
всегда,всегда/common_voice_ru_19336505.opus
всегда,всегда/common_voice_ru_19847760.opus
внимание,внимание/common_voice_ru_21587118.opus
внимание,внимание/common_voice_ru_18883597.opus
внимание,внимание/common_voice_ru_19030072.opus
внимание,внимание/common_voice_ru_19575911__2.opus
внимание,внимание/common_voice_ru_21570858.opus
продолжать,продолжать/common_voice_ru_18888010.opus
продолжать,продолжать/common_voice_ru_20125931.opus
продолжать,продолжать/common_voice_ru_21727977.opus
продолжать,продолжать/common_voice_ru_18917844.opus
продолжать,продолжать/common_voice_ru_18904888.opus
больше,больше/common_voice_ru_19565552.opus
больше,больше/common_voice_ru_18920639.opus
больше,больше/common_voice_ru_21419334.opus
больше,больше/common_voice_ru_18968365.opus
больше,больше/common_voice_ru_21293252.opus
