WORD,LINK
on,on/332d33b1_nohash_0.wav
on,on/122c5aa7_nohash_3.wav
on,on/64a80906_nohash_0.wav
on,on/a7200079_nohash_3.wav
on,on/eeaf97c3_nohash_0.wav
off,off/329eab8a_nohash_1.wav
off,off/c68cf200_nohash_0.wav
off,off/4995d875_nohash_0.wav
off,off/3e31dffe_nohash_2.wav
off,off/07089da9_nohash_0.wav
up,up/89f3ab7d_nohash_1.wav
up,up/0165e0e8_nohash_2.wav
up,up/eb3f7d82_nohash_2.wav
up,up/413bcfe1_nohash_0.wav
up,up/742d6431_nohash_0.wav
down,down/3291330e_nohash_3.wav
down,down/a2b16113_nohash_1.wav
down,down/333d7ddb_nohash_2.wav
down,down/b93528e3_nohash_0.wav
down,down/5a5721f8_nohash_0.wav
right,right/c98bbbd3_nohash_0.wav
right,right/a13e0a74_nohash_0.wav
right,right/cb5d2c6e_nohash_1.wav
right,right/f01a0d63_nohash_1.wav
right,right/2fcb6397_nohash_2.wav
left,left/da93deb7_nohash_0.wav
left,left/71f9bba8_nohash_1.wav
left,left/a045368c_nohash_0.wav
left,left/87eff300_nohash_0.wav
left,left/4954abe8_nohash_0.wav
yes,yes/76b58705_nohash_0.wav
yes,yes/61e2f74f_nohash_3.wav
yes,yes/b4ea0d9a_nohash_7.wav
yes,yes/ab46af55_nohash_2.wav
yes,yes/c0cb43d6_nohash_0.wav
no,no/b414c653_nohash_2.wav
no,no/56f8a100_nohash_0.wav
no,no/611d2b50_nohash_2.wav
no,no/131e738d_nohash_3.wav
no,no/c4500713_nohash_0.wav
go,go/e10e2cbb_nohash_1.wav
go,go/21832144_nohash_1.wav
go,go/617aeb6c_nohash_2.wav
go,go/c2dccf38_nohash_0.wav
go,go/81332c92_nohash_2.wav
stop,stop/9a2e5b3c_nohash_0.wav
stop,stop/4cee0c60_nohash_4.wav
stop,stop/226537ab_nohash_3.wav
stop,stop/a9abc695_nohash_0.wav
stop,stop/023a61ad_nohash_1.wav
